model,class,images,avg_ms,p50_ms,p95_ms,fps,avg_dets,avg_conf
yolov8n.pt,backpack,97,83.3,52.0,312.73,12.01,3.94,0.5111
yolov8n.pt,calculator,88,45.65,32.48,61.16,21.9,2.3,0.5208
yolov8n.pt,globe_model,96,43.49,37.39,80.29,23.0,3.95,0.4952
yolov8n.pt,microscope,99,39.53,34.11,67.43,25.3,3.18,0.514
yolov8n.pt,periodic_table_poster,78,37.95,34.1,52.58,26.35,1.4,0.4644
yolov8n.pt,safety_goggles,96,36.34,30.68,62.13,27.52,2.72,0.5658
yolov8s.pt,backpack,97,95.79,48.68,394.78,10.44,5.63,0.5364
yolov8s.pt,calculator,88,60.46,46.55,80.3,16.54,2.49,0.5938
yolov8s.pt,globe_model,96,63.21,53.96,115.45,15.82,4.42,0.513
yolov8s.pt,microscope,99,56.68,49.77,76.22,17.64,3.75,0.5695
yolov8s.pt,periodic_table_poster,78,58.75,54.08,96.67,17.02,1.54,0.5247
yolov8s.pt,safety_goggles,96,54.38,50.01,94.97,18.39,3.45,0.5984
yolov8m.pt,backpack,97,119.33,67.86,442.6,8.38,6.19,0.5616
yolov8m.pt,calculator,88,79.34,59.54,95.82,12.6,2.69,0.6208
yolov8m.pt,globe_model,96,71.09,65.85,109.16,14.07,5.16,0.541
yolov8m.pt,microscope,99,67.54,59.92,82.2,14.81,4.12,0.5636
yolov8m.pt,periodic_table_poster,78,75.05,65.72,154.36,13.32,1.81,0.5554
yolov8m.pt,safety_goggles,96,66.01,58.78,112.96,15.15,3.94,0.5862
